source_year,Straftat_Gesetz,Art_der_Straftat,abgeurteilte,verurteilte,verurteilungsquote,verurteilungsquote_pct
2024,StGB  ,StGB § 299 Bestechlichkeit und Bestechung im geschäftlichen Verkehr,14.0,8.0,0.5714285714285714,57.14285714285714
2024,StGB  ,StGB § 300 i.V.m. § 299 Besonders schwere Fälle der Bestechlichkeit und Bestechung im geschäftlichen Verkehr,30.0,26.0,0.8666666666666667,86.66666666666667
2024,StGB  ,"StGB § 300 i.V.m. § 299 a, 299 b Besonders schwere Fälle der Bestechlichkeit und Bestechung im Gesundheitswesen",1.0,1.0,1.0,100.0
2024,StGB  ,StGB § 303 Abs. 1 Sachbeschädigung ,11501.0,8348.0,0.7258499260933832,72.58499260933831
2024,StGB  ,StGB § 303 Abs. 2 Sachbeschädigung ,958.0,580.0,0.605427974947808,60.5427974947808
2024,StGB  ,StGB § 303 a Datenveränderung ,35.0,20.0,0.5714285714285714,57.14285714285714
2024,StGB  ,StGB § 303 b Computersabotage ,11.0,5.0,0.45454545454545453,45.45454545454545
2024,StGB  ,StGB § 304 Abs. 1 Gemeinschädliche Sachbeschädigung ,578.0,363.0,0.6280276816608996,62.80276816608996
2024,StGB  ,StGB § 304 Abs. 2 Gemeinschädliche Sachbeschädigung ,98.0,57.0,0.5816326530612245,58.16326530612245
2024,StGB  ,StGB § 306 Brandstiftung ,392.0,280.0,0.7142857142857143,71.42857142857143
2024,StGB  ,StGB § 306 a Schwere Brandstiftung ,386.0,224.0,0.5803108808290155,58.03108808290155
2024,StGB  ,StGB § 306 b Besonders schwere Brandstiftung ,23.0,16.0,0.6956521739130435,69.56521739130434
2024,StGB  ,StGB § 306 c Brandstiftung mit Todesfolge ,11.0,8.0,0.7272727272727273,72.72727272727273
2024,StGB  ,StGB § 306 d Fahrlässige Brandstiftung ,440.0,300.0,0.6818181818181818,68.18181818181817
2024,StGB  ,StGB § 306 f Herbeiführen einer Brandgefahr ,8.0,7.0,0.875,87.5
2024,StGB  ,"StGB § 315 Gefährliche Eingriffe in den Bahn-, Schiffs- und Luftverkehr",288.0,226.0,0.7847222222222222,78.47222222222221
2024,StGB  ,"StGB § 315 a Gefährdung des Bahn-, Schiffs- und Luftverkehrs",36.0,19.0,0.5277777777777778,52.77777777777778
2024,StGB  ,StGB § 315 b Gefährliche Eingriffe in den Straßenverkehr,967.0,505.0,0.5222337125129266,52.22337125129266
2024,StGB  ,StGB § 315 d Abs. 1 Nr. 1 Verbotene Kraftfahrzeugrennen mit Verkehrsunfall,13.0,9.0,0.6923076923076923,69.23076923076923
2024,StGB  ,StGB § 315 d Abs. 1 Nr. 1 Verbotene Kraftfahrzeugrennen ohne Verkehrsunfall,239.0,165.0,0.6903765690376569,69.0376569037657
2024,StGB  ,StGB § 315 d Abs. 1 Nr. 2 Verbotene Kraftfahrzeugrennen mit Verkehrsunfall,19.0,7.0,0.3684210526315789,36.84210526315789
2024,StGB  ,StGB § 315 d Abs. 1 Nr. 2 Verbotene Kraftfahrzeugrennen ohne Verkehrsunfall,252.0,156.0,0.6190476190476191,61.904761904761905
2024,StGB  ,StGB § 315 d Abs. 1 Nr. 3 Verbotene Kraftfahrzeugrennen mit Verkehrsunfall,81.0,67.0,0.8271604938271605,82.71604938271605
2024,StGB  ,StGB § 315 d Abs. 1 Nr. 3 Verbotene Kraftfahrzeugrennen ohne Verkehrsunfall,712.0,578.0,0.8117977528089888,81.17977528089888
2024,StGB  ,"StGB § 315 d Abs. 2, auch i.V.m. Abs. 4 Verbotene Kraftfahrzeugrennen mit Verkehrsunfall",131.0,118.0,0.9007633587786259,90.07633587786259
2024,StGB  ,"StGB § 315 d Abs. 2, auch i.V.m. Abs. 4 Verbotene Kraftfahrzeugrennen ohne Verkehrsunfall",134.0,107.0,0.7985074626865671,79.8507462686567
2024,StGB  ,StGB § 315 d Abs. 5 Verbotene Kraftfahrzeugrennen mit Verkehrsunfall,16.0,13.0,0.8125,81.25
2024,StGB  ,StGB § 315 d Abs. 5 Verbotene Kraftfahrzeugrennen ohne Verkehrsunfall,50.0,34.0,0.68,68.0
2024,StGB  ,StGB § 316 Trunkenheit im Verkehr mit Verkehrsunfall ,7162.0,6809.0,0.9507120915945266,95.07120915945266
2024,StGB  ,StGB § 316 Trunkenheit im Verkehr ohne Verkehrsunfall ,47105.0,45189.0,0.9593249124296784,95.93249124296784
2024,StGB  ,StGB § 316 a Räuberischer Angriff auf Kraftfahrer ,44.0,30.0,0.6818181818181818,68.18181818181817
2024,StGB  ,StGB § 323 a Vollrausch in Verbindung mit Verkehrsunfall,172.0,165.0,0.9593023255813954,95.93023255813954
2024,StGB  ,"StGB § 323 a Vollrausch, ohne Verkehrsunfall ",653.0,619.0,0.9479326186830015,94.79326186830015
2024,StGB  ,StGB § 323 b Gefährdung einer Entziehungskur ,6.0,5.0,0.8333333333333334,83.33333333333334
2024,StGB  ,StGB § 323 c Abs. 1 Unterlassene Hilfeleistung ,128.0,59.0,0.4609375,46.09375
2024,StGB  ,StGB § 323 c Abs. 2 Behinderung. v. hilfeleistenden Pers. ,15.0,9.0,0.6,60.0
2024,StGB  ,StGB § 324 Abs. 3 Gewässerverunreinigung - fahrlässig ,48.0,32.0,0.6666666666666666,66.66666666666666
2024,StGB  ,StGB § 324 a Abs. 3 Bodenverunreinigung - fahrlässig ,21.0,17.0,0.8095238095238095,80.95238095238095
2024,StGB  ,"StGB § 324 a, ohne Abs. 3 Bodenverunreinigung - vorsätzlich ",38.0,19.0,0.5,50.0
2024,StGB  ,"StGB § 324, ohne Abs. 3 Gewässerverunreinigung - vorsätzlich ",86.0,58.0,0.6744186046511628,67.44186046511628
2024,StGB  ,StGB § 325 Abs. 1 Luftverunreinigung - vorsätzlich ,2.0,2.0,1.0,100.0
2024,StGB  ,StGB § 326 Abs. 1 Unerlaubter Umgang mit Abfällen - vorsätzlich,634.0,491.0,0.7744479495268138,77.44479495268138
2024,StGB  ,StGB § 326 Abs. 2 Grenzüberschreitende Verbringung von Abfällen - vorsätzlich,5.0,2.0,0.4,40.0
2024,StGB  ,StGB § 326 Abs. 5 Nr. 1 Unerl. Umgang mit Abfällen und grenzüberschr. Verbringung von Abfällen - fahrlässig,81.0,66.0,0.8148148148148148,81.48148148148148
2024,StGB  ,StGB § 327 Abs. 2 Unerlaubtes Betreiben anderer Anlagen - vorsätzlich,65.0,33.0,0.5076923076923077,50.76923076923077
2024,StGB  ,StGB § 327 Abs. 2 und 3 Nr. 2 Unerlaubtes Betreiben anderer Anlagen - fahrlässig,10.0,8.0,0.8,80.0
2024,StGB  ,StGB § 328 Abs. 1 bis 3 Unerlaubter Umgang mit radioaktiven und anderen gefährlichen Stoffen und Gütern - vorsätzlich,1.0,1.0,1.0,100.0
